,context,コンテクスト,1
,perspective,視点,1
,consumer,消費者（患者）,1
,issue,問題,1
,needs,ニーズ,1
,passive receiver,受動的な受信者,1
*,promote (health),（健康を）促進する,1
*,disease,疾患,1
*,infirmity,虚弱,1
*,prevention,防止,1
,lifestyle,ライフスタイル,1
,collaborate,協力する,1
,optimal ,最適な,1
,state,状態,1
*,well-being,幸福,1
,realize 2,実現2,1
,capacities,容量,1
,environment,環境,1
*,subjective,主観的な,1
*,objective,客観的に,1
,competent,有能,1
,multicultural,多文化,1
*,diabetes,糖尿病,1
,standards,標準,1
,conscience,良心,1
,domain,領域,1
,unique,個性的,1
*,leprosy,ハンセン病,1
*,Alzheimer’s,アルツハイマー病,1
*,epilepsy,てんかん,1
*,"holism, holistic",全体論的な、全体的な,1
,outcome,結果,1
,acknowledge,認める,1
,initial,初期,1
,interrelate,相互に関連させる,1
,rapport,信頼関係,1
*,moral,道徳の,1
,client,クライアント,1
*,dietician,栄養士,1
*,"PT, physical therapist",PT、理学療法士,1
*,OT,occupational therapist 作業療法士,1
*,RN,registered nurse　登録看護師,1
*,LPN,licensed practical nurse　資格を持った看護師,1
*,RPN,registered psychiatric nurse　登録精神科看護師,1
*,MD,medical doctor 医学博士,1
*,GP,general practitioner　総合診療医,1
*,SW,social worker　生活相談員,1
*,RT,respiratory therapist　呼吸療法士,1
,professional,プロ,1
*,patient,忍耐強い,1
*,surgeon,外科医,1
*,dental,歯科,1
,vehicle,車両,1
*,measles,麻疹,1
*,treatment,処理,1
,swallow,飲み込む,1
*,tonsillectomy,扁桃腺摘出術,1
*,mumps,おたふく風邪,1
*,"drugstore, chemist, pharmacy",ドラッグストア、薬局、薬局,1
,refer to,参照する,1
,degree (educational),学位（教育）,1
*,prescribe ,処方する,1
*,fill (an order) ,（注文を）満たす,1
*,dispense,分配する,1
*,over-the-counter,店頭,1
*,prescription,処方,1
*,medication,投薬,1
*,penicillin,ペニシリン,1
*,cyclobenzaprine,シクロベンザプリン,1
,"concentrate, concentration",集中力、集中力,1
,alert,警告,1
*,tablet,タブレット,1
*,pill,ピル,1
,"couch, sofa",ソファ、ソファ,1
,killing me,私を殺す,1
,drowsy,眠い,1
*,pharmacology,薬理学,1
*,pharmaceutical,医薬品,1
*,tetracycline,テトラサイクリン,1
*,antibiotic,抗生物質,1
*,allergic,アレルギー性,1
*,"oral, orally",口頭、口頭で,1
*,ampicillin,アンピシリン,1
*,sedative,鎮静剤,1
*,injection,注入,1
*,arrhythmia,不整脈,1
*,ointment,軟膏,1
*,The Musculoskeletal System,筋骨格系,2
*,"(for radiology, RALP orientation)",(放射線科、RALP オリエンテーション),2
*,organic,オーガニック,2
*,cell,細胞,2
*,tissue,組織,2
*,organ,器官,2
*,(organ) system,（臓器）系,2
*,cavity,空洞,2
,function,関数,2
*,primary,主要な,2
*,epithelia,上皮,2
*,connective,接続詞,2
*,"muscle (striated, smooth, and cardiac)",筋肉（横紋筋、平滑筋、心臓筋）,2
*,nerve,神経,2
*,abdominal cavity (abdomen),腹腔（腹部）,2
*,thoracic cavity (thorax),胸腔（胸部）,2
*,cranial cavity (cranium),頭蓋腔（頭蓋骨）,2
*,oral cavity (mouth),口腔（口）,2
*,pelvic cavity (pelvis),骨盤腔（骨盤）,2
*,posture,姿勢,2
*,gait,歩き方,2
*,voluntary,自発的な,2
*,involuntary,不本意な,2
,comprise,含む,2
*,spleen,脾臓,2
*,kidney,腎臓,2
*,nutrient,栄養素,2
,grasp,把握,2
,manipulate,操作する,2
,muscle,筋,2
,skeleton,スケルトン,2
,musculoskeletal,筋骨格系,2
*,femur,大腿骨,2
*,clavicle,鎖骨,2
*,"spine (vertebrae) (cervical, thoracic and lumbar)",脊椎（椎骨）（頸椎、胸椎、腰椎）,2
*,calcaneus,踵骨,2
*,scapula,肩甲骨,2
*,patella,膝蓋骨,2
*,tibia (w/ fibula),脛骨（腓骨あり）,2
*,coccyx,尾てい骨,2
